	Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	URL	Language	Country	Genre	CastID	Rating	DirectorID
0	Avatar	Dec	18	2009	425.0	760.507625	2783.918982	/title/tt0417299/?ref_=fn_al_tt_1	['English']	['USA']	[]	['', '', '', '', '', '', '', '', '', '']		
1	Star Wars Ep. VII: The Force Awakens	Dec	18	2015	306.0	936.662225	2058.662225	/title/tt6524062/?ref_=fn_al_tt_1	[]	[]	['Talk-Show']	['', '', '', '', '', '', '', '', '', '']	7.1	nm0893659
2	Pirates of the Caribbean: At World's End	May	24	2007	300.0	309.420425	963.420425	/title/tt0449088/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0000136/', 'nm0001691/', 'nm0089217/', 'nm0461136/', 'nm0202603/', 'nm0631490/', 'nm0000596/', 'nm0034305/', 'nm0188871/', 'nm0573618/']	6.8	nm0005222
3	Spectre	Nov	6	2015	300.0	200.074175	879.620923	/title/tt2379713/?ref_=fn_al_tt_1	['English', 'Spanish', 'Italian', 'German', 'French']	['UK', 'USA']	['Action', 'Adventure', 'Thriller']	['nm0185819/', 'nm0910607/', 'nm2244205/', 'nm0000146/', 'nm0000899/', 'nm0924210/', 'nm0365140/', 'nm1176985/', 'nm0778831/', 'nm1239499/']	8.4	nm0634240
4	The Dark Knight Rises	Jul	20	2012	275.0	448.139099	1084.439099	/title/tt1345836/?ref_=fn_al_tt_1	['English', 'Arabic']	['UK', 'USA']	['Action', 'Thriller']	['nm0000288/', 'nm0000198/', 'nm0362766/', 'nm0330687/', 'nm0004266/', 'nm0182839/', 'nm0000151/', 'nm0000323/', 'nm0000546/', 'nm0009530/']	6.5	nm0893659
5	The Lone Ranger	Jul	2	2013	275.0	89.302115	260.002115	/title/tt1210819/?ref_=fn_al_tt_1	['English', 'N']	['USA']	['Action', 'Adventure', 'Western']	['nm0000136/', 'nm2309517/', 'nm0001209/', 'nm0929489/', 'nm2235721/', 'nm0000307/', 'nm0197647/', 'nm4591181/', 'nm0001608/', 'nm3303074/']	6.6	nm0004056
6	John Carter	Mar	9	2012	275.0	73.058679	282.7781	/title/tt0401729/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm2018237/', 'nm1211488/', 'nm0608090/', 'nm0000353/', 'nm0002006/', 'nm0835016/', 'nm0001354/', 'nm0922035/', 'nm0700856/', 'nm0186505/']	7.8	nm1977355
7	Tangled	Nov	24	2010	260.0	200.821936	586.581936	/title/tt0398286/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0601553/', 'nm1157048/', 'nm0614220/', 'nm0000579/', 'nm0301370/', 'nm0001787/', 'nm0004951/', 'nm0006670/', 'nm0001423/', 'nm4169896/']	6.2	nm0397174
8	Spider-Man 3	May	4	2007	258.0	336.530303	890.875303	/title/tt0413300/?ref_=fn_al_tt_1	['English', 'French']	['USA']	['Action', 'Adventure']	['nm0001497/', 'nm0000379/', 'nm0290556/', 'nm0002006/', 'nm0333410/', 'nm0397171/', 'nm0365281/', 'nm0799777/', 'nm0000342/', 'nm0000622/']	7.4	nm0000600
9	Avengers: Age of Ultron	May	1	2015	250.0	459.005868	1404.705868	/title/tt2395427/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000375/', 'nm1165110/', 'nm0749263/', 'nm0262635/', 'nm0424060/', 'nm0719637/', 'nm0000652/', 'nm0000168/', 'nm0000332/', 'nm1093951/']	7.9	nm0923736
